Role,Job Title,Employer,Salary,Region,Timestamp,Visa,Essential_Criteria,Desirable_Criteria,Link
GP,GP Retainer Scheme (Ref: NHS-004-00058),Betsi Cadwaladr University Health Board (Wales),"£88,364 to £119,133 (Consultant level)",Wales,2026-06-08 13:44:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/94489609/
Dental,Dental Core Trainee DCT1 (Ref: NHS-004-00059),Southern Health & Social Care Trust (Northern Ireland),"£43,923 to £55,329 (ST1-ST3 level)",Northern Ireland,2026-06-08 09:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/68383689/
JCF,Junior Clinical Fellow in ICU (Ref: NHS-005-00060),Cambridge University Hospitals FT (England),"£82,000 to £110,000 (Dental Consultant)",England,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/10594617/
SCF,Senior Clinical Fellow in Renal Medicine (Ref: NHS-005-00061),NHS Fife (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-08 09:14:09,Visa Not Required (UK/EU),"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/71778886/
Teaching,Postgraduate Teaching Fellow (Ref: NHS-005-00062),Powys Teaching Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-08 13:44:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/78469992/
TrustGrade,Trust Grade SHO in Surgery (Ref: NHS-005-00063),Business Services Organisation NI (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/34689495/
LAS,LAS ST1 in General Surgery (Ref: NHS-005-00064),Southampton NHS FT (England),"£32,397 to £37,303 (FY/CT level)",England,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/49709531/
Locum,Locum Consultant in Emergency Medicine (Ref: NHS-005-00065),NHS Borders (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-08 13:44:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/90532392/
FY1,FY1 in Psychiatry (Ref: NHS-005-00066),Betsi Cadwaladr University Health Board (Wales),"£82,000 to £110,000 (Dental Consultant)",Wales,2026-06-08 12:14:09,Skilled Worker Visa Supported,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/57442746/
FY2,FY2 in Paediatrics (Ref: NHS-005-00067),Southern Health & Social Care Trust (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-08 13:44:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/94909875/
CT,Core Trainee CT2 in Pathology (Ref: NHS-005-00068),Royal Marsden NHS FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-08 09:14:09,Skilled Worker Visa Supported,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/36050191/
ST_Junior,ST1 in Neurosurgery (Ref: NHS-005-00069),NHS Shetland (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-08 12:14:09,Tier 2 Sponsorship Available,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/51725348/
ST_Senior,ST7 in Rheumatology (Ref: NHS-005-00070),Powys Teaching Health Board (Wales),"£45,000 to £65,000 (GP Salaried)",Wales,2026-06-08 12:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/42391731/
SAS,Specialty Doctor in Emergency Medicine (Ref: NHS-005-00071),Business Services Organisation NI (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/69628123/
Specialist,Specialist Grade in Dermatology (Ref: NHS-005-00072),East Lancashire Hospitals NHS Trust (England),"£88,364 to £119,133 (Consultant level)",England,2026-06-08 09:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/15525498/
GP,Salaried GP Partner (Ref: NHS-005-00073),NHS Tayside (Scotland),"£82,000 to £110,000 (Dental Consultant)",Scotland,2026-06-08 12:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/35419738/
Dental,Specialty Dentist in Orthodontics (Ref: NHS-005-00074),Betsi Cadwaladr University Health Board (Wales),"£45,000 to £65,000 (GP Salaried)",Wales,2026-06-08 09:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/41784039/
JCF,Junior Clinical Fellow in ICU (Ref: NHS-006-00075),Southern Health & Social Care Trust (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-08 04:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/33327649/
SCF,Senior Clinical Fellow in Respiratory (Ref: NHS-006-00076),Warrington & Halton Hospitals NHS FT (England),"£32,397 to £37,303 (FY/CT level)",England,2026-06-08 09:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/20369579/
Teaching,Medical Education Fellow (Ref: NHS-006-00077),NHS Ayrshire & Arran (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-08 06:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/54742375/
TrustGrade,Senior Trust Grade Doctor (Ref: NHS-006-00078),Powys Teaching Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-08 06:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/26964340/
LAS,LAS in Paediatrics (Ref: NHS-006-00079),Business Services Organisation NI (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-08 04:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/59049020/
Locum,Bank Shift Doctor (Ref: NHS-006-00080),Wirral University Teaching Hospital NHS FT (England),"£88,364 to £119,133 (Consultant level)",England,2026-06-08 04:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/33494241/
FY1,Foundation Year 1 Doctor - Rotational (Ref: NHS-006-00081),NHS Western Isles (Scotland),"£65,000 to £85,000 (GP Partner)",Scotland,2026-06-08 06:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/44661196/
FY2,FY2 in Anaesthetics (Ref: NHS-006-00082),Betsi Cadwaladr University Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-08 06:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/22116380/
CT,Core Trainee CT2 in Surgery (Ref: NHS-006-00083),Southern Health & Social Care Trust (Northern Ireland),"£55,329 to £71,589 (ST4-ST8 level)",Northern Ireland,2026-06-08 04:14:09,Tier 2 Sponsorship Available,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/68615272/
ST_Junior,ST1 in General Surgery (Ref: NHS-006-00084),Mersey & West Lancashire Teaching Hospitals NHS Trust (England),"£35,000 to £55,000 (Dental Trainee)",England,2026-06-08 09:14:09,Visa Not Required (UK/EU),"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/92033539/
ST_Senior,ST4 in Gastroenterology (Ref: NHS-006-00085),NHS Lothian (Scotland),"£65,000 to £85,000 (GP Partner)",Scotland,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/20527993/
SAS,Specialty Doctor in Psychiatry (Ref: NHS-006-00086),Powys Teaching Health Board (Wales),"£52,530 to £78,274 (SAS/Specialist level)",Wales,2026-06-08 09:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/49238038/
Specialist,Specialist Grade in Geriatrics (Ref: NHS-006-00087),Business Services Organisation NI (Northern Ireland),"£43,923 to £55,329 (ST1-ST3 level)",Northern Ireland,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/80237383/
GP,Salaried GP Partner (Ref: NHS-006-00088),Stockport NHS FT (England),"£35,000 to £55,000 (Dental Trainee)",England,2026-06-08 04:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/16418779/
Dental,Dental Core Trainee DCT2 (Ref: NHS-006-00089),NHS Fife (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/44496691/
